FID,location,
16536,"Baltimore, MD",
16537,"BALTIMORE,MD",
16763,"Palo Alto, CA",
16764,"Santa Clara,ca",
16765,"Palo Alto, CA",
16766,"San Jose, California",
16767,"Peel Hall, Manchester, UK",
16768,"Palo Alto, CA",
16769,n/a,
16770,6001 Washington Avenue,
16771,"San Jose, CA",
16772,"Santa Clara,ca",
16773,"Santa Clara,ca",
16774,n/a,
16775,"Great Yarmouth, Norfolk",
16776,"Pasco, WA ",
16777,n/a,
16778,"Palo Alto, CA",
16779,"Muscat, Oman",
16780,"Eden Prairie, MN ",
16781,n/a,
16782,n/a,
16783,Detroit Girl,
16784,N 40??X 24' 0'' / W 74??X 8' 0'',
16785,canada,
16786,Pickering,
16787,Newfoundland,
16788,"L7E4C7,Bolton, Ontario, Canada",
16789,Barwell,
16790,"Upper Marlboro, MD 20772",
16791,n/a,
16792,n/a,
16793,n/a,
16794,n/a,
16795,"Chapmanville, WV",
16796,"Oakland, CA",
16797,"San Diego, CA",
16798,"Allen Park, Michigan",
16799,n/a,
16800,Michigan,
16801,"The Netherlands, Almelo",
16802,"Southfield, Michigan",
16803,"Dearborn, MI",
16804,"Palo Alto, CA",
16805,"Richfield, OH",
16806,"Atlanta, Georgia. Sometimes.",
16807,"Palo Alto, CA",
16808,"Dallas, Texas",
16809,"Palo Alto, CA",
16810,San Jose City,
16811,"Derwood, MD",
16812,Fondy,
16813,"Palo Alto, CA",
16814,San Jose ???,
16815,Santa Clara,
16816,San Jose CA,
17091,"Memphis, TN",
17092,"California, USA",
17093,"Memphis, Tennessee",
17094,"Germantown, Tennessee",
17095,"Memphis, TN",
17335,n/a,
17336,"Grapevine, TX 76051",
17337,DFW Texas,
17338,DFW Texas,
17339,NRH,
17340,DFW Texas,
17341,fort worth,
17342,DFW Metroplex,
17343,DFW Texas,
17344,Canada,
17345,DFW Texas,
17388,US Airforce,
17818,"Boise, Idaho, USA",
17819,"Jacksonville, FL",
17820,East Coast of United States,
17821,Jacksonville,
17822,"Jacksonville, FL",
17823,East Coast of United States,
17824,East Coast of United States,
17825,"J'Ville, AL",
17826,Jacksonville ,
18221,"Round Rock, Tx",
18222,"Austin, TX",
18223,"Austin, TX",
18224,"Austin, TX",
18225,"Round Rock, Tx",
18226,"Austin, Texas",
18227,"Austin, Tx",
18228,"Austin, TX",
18229,"Austin, TX",
18230,"Austin, TX",
18231,"Austin, TX",
18232,"Austin, TX",
18233,"Austin, TX USA",
18234,"Austin, TX",
18235,"Austin, TX",
18236,"Austin, TX USA",
18237,"Round Rock, Tx",
18238,"Austin, TX",
18239,"Austin, TX",
18240,"Round Rock, Tx",
18241,"Austin, TX",
18242,"Austin, Tx",
18243,"Austin, TX",
18244,"Round Rock, Tx",
18245,"Austin, TX",
18246,"Austin, Tx",
18247,somewhere,
18248,"Austin, TX",
18249,UK,
18250,"Austin, TX",
18251,"Round Rock, Tx",
18252,Oxfordshire,
18253,"Austin, Texas USA",
18867,"New Orleans, Louisiana",
18868,"New Orleans, Louisiana, USA",
18869,USA,
18870,Greater Seattle Area,
18871,Greater Seattle Area,
18872,Uptown New Orleans,
19190,UK,
19191,Nashville TN,
19192,"Brentwood, TN",
19193,"Nashville, TN",
19194,Vanderbilt University,
19195,"Goodlettsville, TN",
19301,"Oklahoma City, OK",
19376,New York,
19392,"Boston, MA",
19413,Chicago IL,
19414,"25 ave , Illnois 60625 Chicago",
19415,Chicago IL,
19467,n/a,
19468,"Los Angeles, CA",
19595,philadelphia,
19643,"DALLAS,TEXAS",
19673,Bay Area,
19694,Seattle,
19705,"Wisconsin, Milwaukee",
19848,Jacksoville  Fla,
19880,"Nashville, Tenn.",
19898,"Baltimore, Maryland",
19952,NYC,
19979,Chicago,
20011,n/a,
20067,San Diego,
20175,East Coast of United States,
20451,"Washington, DC",
20452,"Washington, DC",
20453,Toronto,
20454,"Washington, DC",
20455,"Washington, DC",
20456,"Washington, DC",
20457,"Washington, DC",
20458,"Danville, KY, USA",
20459,"Washington, DC",
20460,"Silver Spring, MD",
23111,"Recife, BR",
23112,n/a,
23113,Ny &amp Jersey ,
23114,"New York, NY",
23115,New York,
23116,"New York, NY",
23117,"New York, NY",
23118,New York City,
23119,North Jersey ,
23120,New York,
23121,"New York, NY",
23122,"Linden, NJ",
23123,n/a,
23124,New York,
23125,New York,
23126,"New York, NY",
23127,NYC,
23128,"New York, NY",
23129,New York,
27234,"Everett, MA",
27235,"Boston, MA",
27236,"Stoneham, MA 02180",
27237,"Medford, Ma",
27238,"Boston, MA",
27239,"Needham, MA",
27240,Cambridge,
27241,n/a,
27242,"Boston, MA",
28713,Metro Chicago,
28714,"Chicago, IL",
28715,"??T: 41.923811,-87.678312",
30790,"Los Angeles, CA",
30791,Los Angeles,
30792,"Los Angeles, CA",
30793,Los Angeles,
30794,Los Angeles,
30795,19701 Sherman Way,
30796,Los Angeles,
34078,San Francisco,
34079,"Earth, often San Francisco",
35570,"philadelphia,pa",
35571,"Philadelphia, PA",
35572,"philadelphia,pa",
36567,"Scottsdale, AZ",
36568,"Phoenix, AZ",
36569,"Scottsdale, Arizona USA",
37115,San Diego,
37116,"San Diego, CA",
37117,"San Diego, California!",
39052,"Mesquite, TX",
39053,"Mesquite, TX",
39054,Dallas,
39055,Dallas,
39056,"Irving, TX",
39057,n/a,
39058,DFW Texas,
39059,"Irving, TX",
39060,Los Angeles,
39061,"Dallas, Texas",
39062,"Dallas, Texas",
39063,"Dallas, Texas",
40373,Bay Area,
40374,"Houston,Tx",
40375,Worldwide,
40376,"Houston, Texas",
40377,Houston TX,
40378,Houston TX,
40379,n/a,
40380,"HOUSTON,TX",
40381,worldwide,
43489,Seattle,
43490,"Seattle, WA",
43491,Seattle,
44422,Camas WA,
44423,"Portland, OR",
45072,"Milwaukee, WI",
45073,Sussex,
45074,Sussex,
45075,"??T: 43.241776,-87.986445",
46045,"Rochester Hills, Michigan",
46046,"Detroit, Mi.",
46047,"St. Clair Shores, MI",
46048,"Detroit, MI",
46049,"Detroit,MI USA",
46050,"Detroit,MI",
46051,New York,
46052,Detroit,
46053,n/a,
46054,"Pasco, WA ",
46055,n/a,
46056,New Car Mark??? HQ,
46057,AMERICAS ?? EUR ?? ASIA ?? AFR,
46058,Mississauga ON,
46059,n/a,
46060,"Detroit, MI",
46061,"Westland, MI",
46062,Take me to the King,
46063,New York City,
46064,"Auburn Hills, Michigan",
46065,Detroit,
46066,Detroit,
46067,The Nations,
46068,"Hannibal, MO",
46069,Everywhere,
46070,Detroit,
46071,"Ann Arbor, MI",
46072,"Warrensburg, MO",
46073,"Detroit, Michigan USA",
46074,"Detroit, Michigan",
46075,"Guadalajara, Jal.",
46076,"Syracuse,NY",
46077,UMD College Park,
46078,"Picton,NZ",
46079,"Dearborn, MI",
46080,"Ennis, Texas",
46081,"St. Clair Shores, MI",
46082,"Detroit,MI",
46083,"Dubai, UAE",
46084,"Dubai, UAE",
47264,Cleveland Ohio,
47265,Pacific Northwest,
47266,"Cleveland, Ohio",
47800,"Columbus, Ohio",
48172,"Brownsburg, IN",
48173,"Plainfield, Indiana",
48174,"Plainfield, Indiana",
48175,"Plainfield, Indiana",
48176,"Plainfield, Indiana",
48177,"Plainfield, Indiana",
48589,"Westminster, CO",
48590,"Littlefun, CO",
49435,"Baltimore, MD ",
50203,"San Jose, CA",
50204,"Mountain View, CA",
50205,"San Jose, CA",
50206,"Mountain View, CA",
50207,"San Jose, CA",
50981,DFW Texas,
51975,"Round Rock, Tx",
51976,"Austin, Tx",
51977,Austin,
51978,"Round Rock, Tx",
51979,"Austin, Tx",
51980,"Austin, TX",
52685,"New Orleans, Louisiana",
52686,n/a,
52687,Greater Seattle Area,
53020,"Nashville, TN",
53021,"Nashville, TN",
53713,n/a,
53714,Washington,
53715,"Washington, DC",
53716,Arlington,
53717,"Washington, D.C. ",
53718,washington:),
53719,Bethesda MD,
53720,"Alexandria, Va.",
53721,"Washington, D.C. ",
53722,n/a,
53723,"Royal Oak, Michigan",
53724,"Washington, DC",
53725,"Washington, DC",
53726,Arlington,
53727,"washington, DC",
53858,"Washington Heights, NY",
53859,"New York, NY",
53860,"Recife, BR",
53861,"Long island, NY",
53862,New York,
53863,New York,
53864,New York,
53865,n/a,
53866,"New York, NY",
53867,"Long Island, New York.",
53868,New York City,
53869,n/a,
53870,New York,
53871,New York,
53872,New York,
53873,NY,
53874,NOLA,
53875,New York City,
53876,n/a,
53877,New York,
53878,New York,
53879,New York,
53880,Wall St.,
53881,"New York, USA",
53882,New York,
53883,New York,
53884,New York,
53885,Boss city,
53886,"New York, NY",
53887,New York,
53888,New York,
53889,NY,
53890,New York,
53891,Singapour,
53892,"New York, NY",
53893,New York,
53894,New York,
53895,Thames Street.,
53896,NYC,
53897,New York City,
53898,New York,
53899,"New York, NY",
53900,shIt HeLl,
54064,Boston,
54065,n/a,
54066,n/a,
54067,"Connecticut, U.S.A.",
54068,"McPherson, KS",
54069,n/a,
54070,"Harvard Square, Cambridge, MA",
54071,"Clemson, SC",
54072,n/a,
54073,"Harvard Square, Cambridge, MA",
54074,"Boston,Ma",
54075,"Boston,Ma",
54076,"Boston,Ma",
54077,"Boston, MA",
54078,Boston Ma,
54079,Boston Ma,
54080,"Boston, MA",
54081,"Milton, MA",
54082,"Weymouth, MA",
54083,n/a,
54084,Boston,
54085,"Watertown, MA",
54151,"Chicago, Milwaukee",
54152,"??T: 41.923811,-87.678312",
54153,"25 ave , Illnois 60625 Chicago",
54154,"Chicago, Illinois",
54155,"Chicago, IL",
54156,Chicago,
54157,Chicago,
54158,Metro Chicago,
54159,Chicago,
54160,Chicago,
54161,Chicago,
54162,"Chicago, Illinois",
54163,"Chicago, IL",
54164,Chicago (Wicker Park),
54165,"Countryside, IL",
54166,"Countryside, IL",
54282,Downtown           Los Angeles,
54283,Pasadena California,
54284,"Santa Monica, California",
54285,"El Segundo, CA",
54286,"Los Angeles, CA",
54287,Los Angeles,
54288,n/a,
54289,"Los Angeles, CA",
54290,"Los Angeles, CA",
54291,"Los Angeles, CA",
54292,"Los Angeles, CA",
54293,CA,
54294,"Downtown Los Angeles, CA",
54295,"Palo Alto, CA",
54296,"Los Angeles, CA",
54297,Los Angeles,
54298,Los Angeles,
54299,19701 Sherman Way,
54300,"Pasadena, CA",
54301,Los Angeles,
54302,"Los Angeles, CA",
54303,"Santa Monica, CA",
54304,"Pasadena, CA",
54305,Los Angeles,
54306,"San Gabriel, CA 91775",
54307,"??T: 34.105409,-118.242055",
54308,Los Angeles,
54309,"Los Angeles, CA",
54310,Los Angeles,
54311,Los Angeles,
54312,"Los Angeles, CA",
54467,"San Francisco, CA",
54468,"Berkeley, CA",
54469,"Berkeley, CA",
54470,San Francisco,
54471,San Francisco,
54472,"San Francisco, California",
54473,"San Francisco, CA",
54474,"San Francisco, CA",
54475,n/a,
54476,San Francisco,
54477,San Francisco,
54531,Philly,
54532,"Pennsylvania, Philadelphia",
54533,"Philadelphia, PA",
54534,n/a,
54535,n/a,
54536,Philly x Worldwide ????????,
54537,"Mount Laurel, NJ",
54538,Philadelphia Area,
54539,"Doha, Qatar",
54540,Philly,
54541,Philly x Worldwide ????????,
54542,n/a,
54543,Philly x Worldwide ????????,
54544,"Lawrenceville, NJ 08648",
54545,"Ambler, PA",
54546,"Ambler, PA",
54547,"Langhorne, PA",
54602,"mesa, arizona",
54603,"Phoenix, Arizona ",
54604,"Phoenix, Arizona",
54605,"Phoenix, AZ",
54606,"Phoenix, AZ",
54607,"Phoenix, Arizona",
54608,Phoenix AZ,
54626,San Diego,
54627,San Diego,
54628,"San Diego, CA",
54680,Sierra Foothills,
54681,Northeast,
54682,"cowtown, tx",
54683,"Dallas, Tx",
54684,"Dallas, TX",
54685,"Grapevine, TX 76051",
54686,Dallas,
54687,DFW Texas,
54688,"Irving, TX",
54689,"Irving, TX",
54690,"Dallas,Texas",
54691,DFW Texas,
54692,"Irving, TX",
54693,n/a,
54694,Northeast USA,
54695,"Dallas, TX",
54696,"DFW, TX",
54697,Dallas,
54756,"Houston,Tx",
54757,"Houston,Tx",
54758,"Houston, Texas",
54759,"Doha, Qatar",
54760,Worldwide,
54761,"Houston,Tx",
54762,Brunei Darussalam,
54763,Worldwide,
54764,Worldwide,
54765,"Houston, TX",
54766,Worldwide,
54767,Worldwide,
54768,Worldwide,
54769,"Houston, TX",
54770,"Houston, Texas",
54771,"Houston,TX",
54772,Worldwide,
54773,Worldwide,
54774,Worldwide,
54775,"Houston, TX",
54776,"Houston, TX",
54777,"Houston, TX",
54778,"Atlanta, Ga",
54779,n/a,
54995,n/a,
54996,New world ,
55024,"Seattle, United States",
55025,"Seattle, WA",
55026,"Seattle, WA",
55027,"Seattle, WA",
55044,Portland,
55045,"Vancouver, WA",
55046,"Portland, Oregon",
55047,Portland,
55048,Vancouver B.C,
55056,Sussex,
55057,Sussex,
55058,"Milwaukee, WI",
55059,"Milwaukee, WI",
55060,"Waukesha, WI",
55061,"Waukesha, WI",
55083,"Westland, MI",
55084,"Detroit, Michigan",
55085,"Westland, MI",
55086,"Detroit, Michigan",
55087,"Madison Heights, MI",
55088,"Auburn Hills, MI",
55089,Detroit. MI,
55090,48021,
55091,48021,
55092,"ON YOUR SIDE, SO CHILL!",
55093,"Detroit, MI USA",
55094,Diamond Auto Lease &amp Sales,
55095,"Detroit, MI",
55096,The Open Road,
55097,"Detroit, Michigan",
55098,Detroit,
55099,"Detroit, MI",
55100,"Detroit, Michigan",
55101,Detroit,
55102,n/a,
55103,"St. Clair Shores, MI",
55104,n/a,
55105,"Detroit,Michigan",
55106,Detroit,
55107,"St. Clair Shores, MI",
55108,LIVONIA MICHIGAN ,
55109,"St. Clair Shores, MI",
55110,"St. Clair Shores, MI",
55124,"Cleveland,Ohio",
55125,"Cleveland, Ohio",
55126,"Cleveland, OH",
55127,"Cleveland, OH",
55128,"Cleveland, OH",
55140,"Columbus, Ohio",
55141,Tweeting,
55142,n/a,
55143,Tweeting,
55149,"Plainfield, Indiana",
55150,"Plainfield, Indiana",
55151,"Plainfield, Indiana",
55152,"Plainfield, Indiana",
55153,"Plainfield, Indiana",
55154,"Plainfield, Indiana",
55155,"Plainfield, Indiana",
55156,"Plainfield, Indiana",
55160,Arvada,
55176,Baltimore MD,
55182,"San Jose, CA",
55183,"Santa Clara,ca",
55184,"San Jose, California",
55185,n/a,
55186,"San Jose, CA",
55187,Makati,
55188,San Jose City,
55196,"Memphis, TN",
55197,"Memphis, Tennessee",
55198,"Memphis, Tennessee",
55202,"Grapevine, TX 76051",
55203,DFW Texas,
55204,DFW Texas,
55205,"DFW, TX",
55206,"Fort Worth, TX",
55255,East Coast of United States,
55256,"Jacksonville, FL",
55259,n/a,
55265,"Kenner, La",
55266,"Kenner, La",
55267,"New Orleans, Louisiana",
55271,"Nashville, Tenn.",
55272,"Nashville, TN",
55273,"okc,ok",
55339,"New York, NY",
55564,"philadelphia,pa",
55598, Nashville TN USA,
55819,"Cleveland, Ohio",
55820,"Cleveland, Ohio",
55821,"Cleveland, Ohio",
55822,"Cleveland, Ohio",
55823,"Cleveland, Ohio",
55911,"Austin, TX",
56032,"Bowie, MD",
56033,"Washington, DC",
56034,"Washington, DC",
56035,"Washington, DC",
56036,"Washington, DC",
56840,"Jersey, New",
56841,"??T: 40.718364,-74.072714",
56842,"Long Island, NY",
56843,"New York City, USA",
56844,NY,
57462,"Logan Square-Chicago, IL",
57811,"Santa Monica, CA",
57812,Los Angeles,
57813,London,
57814,"Rio de Janeiro, Brasil",
57815,London UK,
57816,n/a,
57817,Los Angeles,
58101,"San Francisco, Ca",
58102,"san francisco, ca",
58103,"San Francisco, CA",
58104,"San Francisco, CA",
58105,"San Francisco, CA",
58261,n/a,
58262,I'm lost ,
58263,Philly,
58264,"Trevose, Pennsylvania USA",
58599,"Irving, TX",
58600,"Franklin, WI",
58601,"Dallas, Texas",
58807,"Doha, Qatar",
58808,"Doha, Qatar",
58809,"Doha, Qatar",
58810,"Houston, TX",
58811,"Houston, TX",
58812,"Houston, TX",
58813,"Houston, TX",
58814,"Houston, TX",
58815,"Houston, TX",
58816,"Doha, Qatar",
58817,"Doha, Qatar",
58818,"Doha, Qatar",
58819,"Houston, TX",
58820,"Houston,Tx",
58821,"Houston, TX",
58822,"Houston, TX",
58823,"Doha, Qatar",
58824,"Houston, TX",
58825,n/a,
58826,"Houston, Tx",
59375,Seattle,
59376,"Seattle, WA",
59377,"Renton, WA",
59491,"Portland, OR",
59492,Camas WA,
59878,"St. Clair Shores, MI",
59879,"St. Clair Shores, MI",
59880,"Detroit, MI",
59881,"Hanover Pa, 17331",
59882,Las Vegas Nevada,
59883,London,
59884,London UK,
59885,London,
59886,"Westland, MI",
59887,London UK,
59888,"Rio de Janeiro, Brasil",
59889,n/a,
59890,Newfoundland,
59891,"Dubai, UAE",
59892,"antwerp, belgium",
59893,"Dearborn, MI",
59894,"Detroit, MI",
60108,"Columbus, OH",
60275,"Denver, CO",
60712,"Round Rock, Tx",
60713,"Austin, TX",
60714,"Austin, Tx",
61282,Guess where I am.,
62164,"Phoenix, AZ",
62304,"Doha, Qatar",
62305,"Houston, TX",
62306,"Houston, TX",
62307,Bay Area,
62818,"Industry, CA",
62890,"Westminster, CO",
62922,"Aliso Viejo, CA",
63166,Grove Street,
63167,"New York, NY",
63168,"New York, NY",
63436,Chicago IL,
63747,"??T: 39.900765,-74.905688",
63748,"philadelphia,pa",
63749,"??T: 39.900765,-74.905688",
63997,"dallas ,Texas",
64057,Bay Area,
64058,"Houston, Tx",
64380,n/a,
64480,"Detroit, MI",
64481,"Detroit,MI",
64482,"Westland, MI",
64483,"Detroit, MI",
64484,Learn To Drive Safely!,
64485,"Philadelphia, PA",
64798,Austin ,
64799,"Austin, TX",
64880,n/a,
65122,n/a,
65123,"New York, NY",
65124,"New York, NY",
65848,"Boston,Ma",
65849,GORGEOUS UNIVERSE,
66213,"Los Angeles, CA",
66214,Los Angeles,
66215,"??T: 34.109318,-118.183992",
66216,USA,
66217,"Los Angeles, CA",
66415,n/a,
66801,Bay Area,
67022,n/a,
67056,"Seattle, WA",
67057,Seattle,
67108,Camas WA,
67258,"St. Clair Shores, MI",
67259,n/a,
67356,Columbus,
67377,"Indianapolis, IN 46260",
67477,"San Jose, California",
67508,Memphis,
67586,"East Coast, United States",
67602,"Round Rock, Tx",
67734,Washington DC,
67837,New York City,
67838,Redneck Country,
68644,"Los Angeles, California",
68842,"San Mateo, CA",
68843,miles college ,
68925,"philadelphia,pa",
69261,"San Antonio, TX",
69327,Camas WA,
69388,"St. Clair Shores, MI",
69389,"Detroit, Michigan",
69390,"Detroit,MI",
69418,"Cleveland, OH",
69452,"Brownsburg, IN",
69602,"Austin, TX",
69603,"Austin, Tx",
69690,"West Virginia, it's a state...",
69837,South Jersey,
69838,New York,
69839,New York,
69840,"New York, NY",
70330,"Chicago, IL",
70331,Chicago,
70332,Chicago,
70333,Chicago ,
70511,Los Angeles,
70917,n/a,
70918,"Dallas, TX",
70919,"Dallas, TX",
70920,"Dallas, Texas",
71023,"Houston, Texas ",
71024,Drunk In Houston ,
71025,"Houston, Tx",
71542,"Venezuela,Caracas",
71543,"San Antonio, Texas",
71595,Seattle,
71596,Kent,
71597,Seattle Washington,
71813,Sterling Heights,
71814,"??T: 42.492098,-83.290456",
71815,"??T: 42.449228,-83.216303",
71816,"Westland, MI",
71892,CLE,
72135,"portland, ore",
72136,New Galaxy ,
72137,"Palo Alto, California",
72279,"Round Rock, Tx",
72335,New Orleans,
72694,New York,
72695,"Doha, Qatar",
72696,New York,
72697,New York,
72698,n/a,
73181,CHICAGO,
73368,Los Angeles ,
73369,"inglewood , ca",
73752,"Phoenix, AZ, ",
73935,WorldWide,
73936,n/a,
74931,Chagrin Falls,
75016,Denver Colorado,
75260,"Arlington, VA",
75364,"New York, NY",
75573,Chicago,
75634,USA,
75635,"Los Angeles, CA",
75822,"San Francisco, CA",
75823,"San Francisco, CA",
75881,"Mount Laurel, NJ",
75882,"Philadelphia, PA USA",
75883,"philadelphia,pa",
75884,Philly ????????,
76056,"Houston, Tx",
76297,Camas WA,
76459,"St. Clair Shores, MI",
76460,"Detroit,MI USA",
76461,"Detroit,MI",
76462,Toronto,
76504,"Cleveland, Ohio",
76696,"Palo Alto, CA",
76825,"Austin, TX",
76826,"Round Rock, Tx",
76827,"Austin, Tx",
76828,"Austin, TX",
76888,New York,
76889,"New Orleans, Louisiana",
77046,"Washington, DC",
77047,"Washington, D.C.",
77048,"Washington, DC",
77363,NYC,
77364,"New York, NY",
77365,New York,
77366,NY,
77959,"Needham, MA",
77960,"Needham, MA",
78114,"Denver, CO 80203",
78315,Los Angeles,
78316,"Los Angeles, CA",
78645,San Francisco ,
78646,San Francisco ,
78855,"Phoenix, AZ",
79115,Worldwide,
79116,"Pasadena, Texas",
79434,Canadia,
79497,Seattle,
79498,"Bellevue, WA",
79569,"Portland, Oregon, USA",
79629,"Milwaukee, WI",
79765,"Westland, MI",
79957,"Denver, Co.",
80057,"Palo Alto, CA",
80228,"Austin, TX",
80229,"Austin,Tx",
80255,Metairie LA,
80532,??? ??? SAINT LOUIS ??? CHICAGO ??? NY,
80533,NY,
81377,"philadelphia,pa",
81597,Bay Area,
81908,"Detroit,MI",
81909,LIVONIA MICHIGAN ,
81941,"Cleveland, Ohio, USA",
81942,"Cleveland, Ohio",
82237,"Washington, DC",
82559,"New York, NY",
83800,"Chicago, IL",
83801,n/a,
83802,"Chicago, IL",
85188,Los Angeles ,
85189,"Burbank, CA",
85190,"Glendale, CA",
85667,"San Francisco, CA",
85750,"Philadelphia, PA",
85900,"Dallas, TX",
85901,Northeast,
86021,"Houston, TX ",
86022,"Houston, Tx",
86023,"Houston, Tx",
86640,"San Antonio, Texas",
86681,Kent WA,
86804,"Milwaukee, WI",
87124,Michigan,
87125,N.C.,
87126,@jpurifoyspeaks,
87127,"Detroit,MI USA",
87128,"St. Clair Shores, MI",
87129,Chicago,
87130,"Birmingham, AL",
87131,"Lansing, MI",
87132,"Detroit, MI",
87133,"Westland, MI",
87265,"COLUMBUS, NO!!!!HIO",
87294,"North Indianapolis, IN",
87339,Colorado,
87340,Denver Colorado,
87428,fairbanks AK - bmore maryland,
87429,fairbanks AK - bmore maryland,
87583,Fort Worth,
87622,"El Paso, TX",
87752,"Austin, Tx",
87753,"Austin, TX",
87754,"Austin, Tx",
87919,"Brentwood, TN",
88115,"Washington, D.C.",
88116,"Washington, D.C.",
89075,"Boston, MA",
89076,16. Mass.,
89218,San Francisco???London???Chicago,
89911,Los Angeles,
89912,"Los Angeles, CA",
90299,"Toronto, ON",
90300,Russia,
90301,n/a,
90302,"51.15423,-114.044717",
90303,"Charlotte, NC",
90304,"40.80183,-73.946674",
90305,n/a,
90306,North East,
90307,Davey Jones Locker,
90308,"Dasmarinas City, Philippines",
90309,"Philadelphia, PA",
90310,n/a,
90311,"Washington, DC  Greenville, SC",
90312,"San Antonio, Texas",
90313,U.S,
90314,"5.569952,-0.258888",
90315, the junguan tree of knowledge,
90316,new city &amp new twitter,
90317,San Francisco,
90318,"San Francisco, CA",
90573,"Phoenix, Arizona",
90742,"Dallas,Texas",
90872,"Houston, TX",
90873,n/a,
90874,"Houston, TX",
90875,"Houston, TX",
90876,"Houston, TX",
90877,"Doha, Qatar",
90878,"Houston, TX",
90879,"Houston, TX",
91323,Seattle,
91386,Camas WA,
91387,"Portland, OR",
91653,Sterling Heights,
91715,"Cleveland, OH",
91963,"Silver Spring, MD",
91964,Mommynic. Psychonic.. And more,
91965,"Washington, D.C.",
91966,Washington,
91967,"Washington, DC",
91968,Washington,
92611,Harlem New York,
92612,Garden City ,
92613,n/a,
92614,"NY, NY",
93419,Boston Ma,
93420,Boston Ma,
